"schedule_id","station_id","exp_arrival_time","exp_departure_time","actual_arrival_time","actual_departure_time"
5,37,"2020-09-19 07:20:00","2020-09-19 07:25:00","2020-09-19 07:20:00","2020-09-19 07:25:00"
5,61,"2020-09-19 03:00:00","2020-09-19 03:10:00","2020-09-19 03:00:00","2020-09-19 03:10:00"
5,62,"2020-09-19 05:10:00","2020-09-19 05:15:00","2020-09-19 05:10:00","2020-09-19 05:15:00"
5,63,"2020-09-19 06:10:00","2020-09-19 06:15:00","2020-09-19 06:10:00","2020-09-19 06:15:00"
5,64,"2020-09-19 09:50:00","2020-09-19 09:55:00","2020-09-19 09:50:00","2020-09-19 09:55:00"
5,65,"2020-09-19 10:35:00","2020-09-19 10:40:00","2020-09-19 10:35:00","2020-09-19 10:40:00"
5,66,"2020-09-19 12:00:00","2020-09-19 12:05:00","2020-09-19 12:00:00","2020-09-19 12:05:00"
5,67,"2020-09-19 13:00:00","2020-09-19 13:05:00","2020-09-19 13:00:00","2020-09-19 13:05:00"
6,10,"2020-09-19 22:30:00","2020-09-19 22:35:00","2020-09-19 22:30:00","2020-09-19 22:35:00"
6,37,"2020-09-19 18:50:00","2020-09-19 18:55:00","2020-09-19 18:50:00","2020-09-19 18:55:00"
6,61,"2020-09-19 23:10:00","2020-09-19 23:15:00","2020-09-19 23:10:00","2020-09-19 23:15:00"
6,62,"2020-09-19 21:00:00","2020-09-19 21:05:00","2020-09-19 21:00:00","2020-09-19 21:05:00"
6,63,"2020-09-19 20:00:00","2020-09-19 20:05:00","2020-09-19 20:00:00","2020-09-19 20:05:00"
6,64,"2020-09-19 16:15:00","2020-09-19 16:20:00","2020-09-19 16:15:00","2020-09-19 16:20:00"
6,65,"2020-09-19 15:35:00","2020-09-19 15:40:00","2020-09-19 15:35:00","2020-09-19 15:40:00"
6,66,"2020-09-19 14:00:00","2020-09-19 14:05:00","2020-09-19 14:00:00","2020-09-19 14:05:00"
6,67,"2020-09-19 13:30:00","2020-09-19 13:35:00","2020-09-19 13:30:00","2020-09-19 13:35:00"
7,10,"2020-09-26 03:40:00","2020-09-26 03:45:00","2020-09-26 03:40:00","2020-09-26 03:45:00"
7,37,"2020-09-26 07:20:00","2020-09-26 07:25:00","2020-09-26 07:20:00","2020-09-26 07:25:00"
7,61,"2020-09-26 03:00:00","2020-09-26 03:10:00","2020-09-26 03:00:00","2020-09-26 03:10:00"
7,62,"2020-09-26 05:10:00","2020-09-26 05:15:00","2020-09-26 05:10:00","2020-09-26 05:15:00"
7,63,"2020-09-26 06:10:00","2020-09-26 06:15:00","2020-09-26 06:10:00","2020-09-26 06:15:00"
7,64,"2020-09-26 09:50:00","2020-09-26 09:55:00","2020-09-26 09:50:00","2020-09-26 09:55:00"
7,65,"2020-09-26 10:35:00","2020-09-26 10:40:00","2020-09-26 10:35:00","2020-09-26 10:40:00"
7,66,"2020-09-26 12:00:00","2020-09-26 12:05:00","2020-09-26 12:00:00","2020-09-26 12:05:00"
7,67,"2020-09-26 13:00:00","2020-09-26 13:05:00","2020-09-26 13:00:00","2020-09-26 13:05:00"
8,10,"2020-09-26 22:30:00","2020-09-26 22:35:00","2020-09-26 22:30:00","2020-09-26 22:35:00"
8,37,"2020-09-26 18:50:00","2020-09-26 18:55:00","2020-09-26 18:50:00","2020-09-26 18:55:00"
8,61,"2020-09-26 23:10:00","2020-09-26 23:15:00","2020-09-26 23:10:00","2020-09-26 23:15:00"
8,62,"2020-09-26 21:00:00","2020-09-26 21:05:00","2020-09-26 21:00:00","2020-09-26 21:05:00"
8,63,"2020-09-26 20:00:00","2020-09-26 20:05:00","2020-09-26 20:00:00","2020-09-26 20:05:00"
8,64,"2020-09-26 16:15:00","2020-09-26 16:20:00","2020-09-26 16:15:00","2020-09-26 16:20:00"
8,65,"2020-09-26 15:35:00","2020-09-26 15:40:00","2020-09-26 15:35:00","2020-09-26 15:40:00"
8,66,"2020-09-26 14:00:00","2020-09-26 14:05:00","2020-09-26 14:00:00","2020-09-26 14:05:00"
8,67,"2020-09-26 13:30:00","2020-09-26 13:35:00","2020-09-26 13:30:00","2020-09-26 13:35:00"
9,10,"2020-10-03 03:40:00","2020-10-03 03:45:00","2020-10-03 03:40:00","2020-10-03 03:45:00"
9,37,"2020-10-03 07:20:00","2020-10-03 07:25:00","2020-10-03 07:20:00","2020-10-03 07:25:00"
9,61,"2020-10-03 03:00:00","2020-10-03 03:10:00","2020-10-03 03:00:00","2020-10-03 03:10:00"
9,62,"2020-10-03 05:10:00","2020-10-03 05:15:00","2020-10-03 05:10:00","2020-10-03 05:15:00"
9,63,"2020-10-03 06:10:00","2020-10-03 06:15:00","2020-10-03 06:10:00","2020-10-03 06:15:00"
9,64,"2020-10-03 09:50:00","2020-10-03 09:55:00","2020-10-03 09:50:00","2020-10-03 09:55:00"
9,65,"2020-10-03 10:35:00","2020-10-03 10:40:00","2020-10-03 10:35:00","2020-10-03 10:40:00"
9,66,"2020-10-03 12:00:00","2020-10-03 12:05:00","2020-10-03 12:00:00","2020-10-03 12:05:00"
9,67,"2020-10-03 13:00:00","2020-10-03 13:05:00","2020-10-03 13:00:00","2020-10-03 13:05:00"
10,10,"2020-10-03 22:30:00","2020-10-03 22:35:00","2020-10-03 22:30:00","2020-10-03 22:35:00"
10,37,"2020-10-03 18:50:00","2020-10-03 18:55:00","2020-10-03 18:50:00","2020-10-03 18:55:00"
10,61,"2020-10-03 23:10:00","2020-10-03 23:15:00","2020-10-03 23:10:00","2020-10-03 23:15:00"
10,62,"2020-10-03 21:00:00","2020-10-03 21:05:00","2020-10-03 21:00:00","2020-10-03 21:05:00"
10,63,"2020-10-03 20:00:00","2020-10-03 20:05:00","2020-10-03 20:00:00","2020-10-03 20:05:00"
10,64,"2020-10-03 16:15:00","2020-10-03 16:20:00","2020-10-03 16:15:00","2020-10-03 16:20:00"
10,65,"2020-10-03 15:35:00","2020-10-03 15:40:00","2020-10-03 15:35:00","2020-10-03 15:40:00"
10,66,"2020-10-03 14:00:00","2020-10-03 14:05:00","2020-10-03 14:00:00","2020-10-03 14:05:00"
10,67,"2020-10-03 13:30:00","2020-10-03 13:35:00","2020-10-03 13:30:00","2020-10-03 13:35:00"
11,10,"2020-10-10 03:40:00","2020-10-10 03:45:00","2020-10-10 03:40:00","2020-10-10 03:45:00"
11,37,"2020-10-10 07:20:00","2020-10-10 07:25:00","2020-10-10 07:20:00","2020-10-10 07:25:00"
11,61,"2020-10-10 03:00:00","2020-10-10 03:10:00","2020-10-10 03:00:00","2020-10-10 03:10:00"
11,62,"2020-10-10 05:10:00","2020-10-10 05:15:00","2020-10-10 05:10:00","2020-10-10 05:15:00"
11,63,"2020-10-10 06:10:00","2020-10-10 06:15:00","2020-10-10 06:10:00","2020-10-10 06:15:00"
11,64,"2020-10-10 09:50:00","2020-10-10 09:55:00","2020-10-10 09:50:00","2020-10-10 09:55:00"
11,65,"2020-10-10 10:35:00","2020-10-10 10:40:00","2020-10-10 10:35:00","2020-10-10 10:40:00"
11,66,"2020-10-10 12:00:00","2020-10-10 12:05:00","2020-10-10 12:00:00","2020-10-10 12:05:00"
11,67,"2020-10-10 13:00:00","2020-10-10 13:05:00","2020-10-10 13:00:00","2020-10-10 13:05:00"
12,10,"2020-10-10 22:30:00","2020-10-10 22:35:00","2020-10-10 22:30:00","2020-10-10 22:35:00"
12,37,"2020-10-10 18:50:00","2020-10-10 18:55:00","2020-10-10 18:50:00","2020-10-10 18:55:00"
12,61,"2020-10-10 23:10:00","2020-10-10 23:15:00","2020-10-10 23:10:00","2020-10-10 23:15:00"
12,62,"2020-10-10 21:00:00","2020-10-10 21:05:00","2020-10-10 21:00:00","2020-10-10 21:05:00"
12,63,"2020-10-10 20:00:00","2020-10-10 20:05:00","2020-10-10 20:00:00","2020-10-10 20:05:00"
12,64,"2020-10-10 16:15:00","2020-10-10 16:20:00","2020-10-10 16:15:00","2020-10-10 16:20:00"
12,65,"2020-10-10 15:35:00","2020-10-10 15:40:00","2020-10-10 15:35:00","2020-10-10 15:40:00"
12,66,"2020-10-10 14:00:00","2020-10-10 14:05:00","2020-10-10 14:00:00","2020-10-10 14:05:00"
12,67,"2020-10-10 13:30:00","2020-10-10 13:35:00","2020-10-10 13:30:00","2020-10-10 13:35:00"
13,10,"2020-10-17 03:40:00","2020-10-17 03:45:00","2020-10-17 03:40:00","2020-10-17 03:45:00"
13,37,"2020-10-17 07:20:00","2020-10-17 07:25:00","2020-10-17 07:20:00","2020-10-17 07:25:00"
13,61,"2020-10-17 03:00:00","2020-10-17 03:10:00","2020-10-17 03:00:00","2020-10-17 03:10:00"
13,62,"2020-10-17 05:10:00","2020-10-17 05:15:00","2020-10-17 05:10:00","2020-10-17 05:15:00"
13,63,"2020-10-17 06:10:00","2020-10-17 06:15:00","2020-10-17 06:10:00","2020-10-17 06:15:00"
13,64,"2020-10-17 09:50:00","2020-10-17 09:55:00","2020-10-17 09:50:00","2020-10-17 09:55:00"
13,65,"2020-10-17 10:35:00","2020-10-17 10:40:00","2020-10-17 10:35:00","2020-10-17 10:40:00"
13,66,"2020-10-17 12:00:00","2020-10-17 12:05:00","2020-10-17 12:00:00","2020-10-17 12:05:00"
13,67,"2020-10-17 13:00:00","2020-10-17 13:05:00","2020-10-17 13:00:00","2020-10-17 13:05:00"
14,10,"2020-10-17 22:30:00","2020-10-17 22:35:00","2020-10-17 22:30:00","2020-10-17 22:35:00"
14,37,"2020-10-17 18:50:00","2020-10-17 18:55:00","2020-10-17 18:50:00","2020-10-17 18:55:00"
14,61,"2020-10-17 23:10:00","2020-10-17 23:15:00","2020-10-17 23:10:00","2020-10-17 23:15:00"
14,62,"2020-10-17 21:00:00","2020-10-17 21:05:00","2020-10-17 21:00:00","2020-10-17 21:05:00"
14,63,"2020-10-17 20:00:00","2020-10-17 20:05:00","2020-10-17 20:00:00","2020-10-17 20:05:00"
14,64,"2020-10-17 16:15:00","2020-10-17 16:20:00","2020-10-17 16:15:00","2020-10-17 16:20:00"
14,65,"2020-10-17 15:35:00","2020-10-17 15:40:00","2020-10-17 15:35:00","2020-10-17 15:40:00"
14,66,"2020-10-17 14:00:00","2020-10-17 14:05:00","2020-10-17 14:00:00","2020-10-17 14:05:00"
14,67,"2020-10-17 13:30:00","2020-10-17 13:35:00","2020-10-17 13:30:00","2020-10-17 13:35:00"
15,10,"2020-10-24 03:40:00","2020-10-24 03:45:00","2020-10-24 03:40:00","2020-10-24 03:45:00"
15,37,"2020-10-24 07:20:00","2020-10-24 07:25:00","2020-10-24 07:20:00","2020-10-24 07:25:00"
15,61,"2020-10-24 03:00:00","2020-10-24 03:10:00","2020-10-24 03:00:00","2020-10-24 03:10:00"
15,62,"2020-10-24 05:10:00","2020-10-24 05:15:00","2020-10-24 05:10:00","2020-10-24 05:15:00"
15,63,"2020-10-24 06:10:00","2020-10-24 06:15:00","2020-10-24 06:10:00","2020-10-24 06:15:00"
15,64,"2020-10-24 09:50:00","2020-10-24 09:55:00","2020-10-24 09:50:00","2020-10-24 09:55:00"
15,65,"2020-10-24 10:35:00","2020-10-24 10:40:00","2020-10-24 10:35:00","2020-10-24 10:40:00"
15,66,"2020-10-24 12:00:00","2020-10-24 12:05:00","2020-10-24 12:00:00","2020-10-24 12:05:00"
15,67,"2020-10-24 13:00:00","2020-10-24 13:05:00","2020-10-24 13:00:00","2020-10-24 13:05:00"
16,10,"2020-10-24 22:30:00","2020-10-24 22:35:00","2020-10-24 22:30:00","2020-10-24 22:35:00"
16,37,"2020-10-24 18:50:00","2020-10-24 18:55:00","2020-10-24 18:50:00","2020-10-24 18:55:00"
16,61,"2020-10-24 23:10:00","2020-10-24 23:15:00","2020-10-24 23:10:00","2020-10-24 23:15:00"
16,62,"2020-10-24 21:00:00","2020-10-24 21:05:00","2020-10-24 21:00:00","2020-10-24 21:05:00"
16,63,"2020-10-24 20:00:00","2020-10-24 20:05:00","2020-10-24 20:00:00","2020-10-24 20:05:00"
16,64,"2020-10-24 16:15:00","2020-10-24 16:20:00","2020-10-24 16:15:00","2020-10-24 16:20:00"
16,65,"2020-10-24 15:35:00","2020-10-24 15:40:00","2020-10-24 15:35:00","2020-10-24 15:40:00"
16,66,"2020-10-24 14:00:00","2020-10-24 14:05:00","2020-10-24 14:00:00","2020-10-24 14:05:00"
16,67,"2020-10-24 13:30:00","2020-10-24 13:35:00","2020-10-24 13:30:00","2020-10-24 13:35:00"
17,10,"2020-10-31 03:40:00","2020-10-31 03:45:00","2020-10-31 03:40:00","2020-10-31 03:45:00"
17,37,"2020-10-31 07:20:00","2020-10-31 07:25:00","2020-10-31 07:20:00","2020-10-31 07:25:00"
17,61,"2020-10-31 03:00:00","2020-10-31 03:10:00","2020-10-31 03:00:00","2020-10-31 03:10:00"
17,62,"2020-10-31 05:10:00","2020-10-31 05:15:00","2020-10-31 05:10:00","2020-10-31 05:15:00"
17,63,"2020-10-31 06:10:00","2020-10-31 06:15:00","2020-10-31 06:10:00","2020-10-31 06:15:00"
17,64,"2020-10-31 09:50:00","2020-10-31 09:55:00","2020-10-31 09:50:00","2020-10-31 09:55:00"
17,65,"2020-10-31 10:35:00","2020-10-31 10:40:00","2020-10-31 10:35:00","2020-10-31 10:40:00"
17,66,"2020-10-31 12:00:00","2020-10-31 12:05:00","2020-10-31 12:00:00","2020-10-31 12:05:00"
17,67,"2020-10-31 13:00:00","2020-10-31 13:05:00","2020-10-31 13:00:00","2020-10-31 13:05:00"
18,10,"2020-10-31 22:30:00","2020-10-31 22:35:00","2020-10-31 22:30:00","2020-10-31 22:35:00"
18,37,"2020-10-31 18:50:00","2020-10-31 18:55:00","2020-10-31 18:50:00","2020-10-31 18:55:00"
18,61,"2020-10-31 23:10:00","2020-10-31 23:15:00","2020-10-31 23:10:00","2020-10-31 23:15:00"
18,62,"2020-10-31 21:00:00","2020-10-31 21:05:00","2020-10-31 21:00:00","2020-10-31 21:05:00"
18,63,"2020-10-31 20:00:00","2020-10-31 20:05:00","2020-10-31 20:00:00","2020-10-31 20:05:00"
18,64,"2020-10-31 16:15:00","2020-10-31 16:20:00","2020-10-31 16:15:00","2020-10-31 16:20:00"
18,65,"2020-10-31 15:35:00","2020-10-31 15:40:00","2020-10-31 15:35:00","2020-10-31 15:40:00"
18,66,"2020-10-31 14:00:00","2020-10-31 14:05:00","2020-10-31 14:00:00","2020-10-31 14:05:00"
18,67,"2020-10-31 13:30:00","2020-10-31 13:35:00","2020-10-31 13:30:00","2020-10-31 13:35:00"
19,10,"2020-11-07 03:40:00","2020-11-07 03:45:00","2020-11-07 03:40:00","2020-11-07 03:45:00"
19,37,"2020-11-07 07:20:00","2020-11-07 07:25:00","2020-11-07 07:20:00","2020-11-07 07:25:00"
19,61,"2020-11-07 03:00:00","2020-11-07 03:10:00","2020-11-07 03:00:00","2020-11-07 03:10:00"
19,62,"2020-11-07 05:10:00","2020-11-07 05:15:00","2020-11-07 05:10:00","2020-11-07 05:15:00"
19,63,"2020-11-07 06:10:00","2020-11-07 06:15:00","2020-11-07 06:10:00","2020-11-07 06:15:00"
19,64,"2020-11-07 09:50:00","2020-11-07 09:55:00","2020-11-07 09:50:00","2020-11-07 09:55:00"
19,65,"2020-11-07 10:35:00","2020-11-07 10:40:00","2020-11-07 10:35:00","2020-11-07 10:40:00"
19,66,"2020-11-07 12:00:00","2020-11-07 12:05:00","2020-11-07 12:00:00","2020-11-07 12:05:00"
19,67,"2020-11-07 13:00:00","2020-11-07 13:05:00","2020-11-07 13:00:00","2020-11-07 13:05:00"
20,10,"2020-11-07 22:30:00","2020-11-07 22:35:00","2020-11-07 22:30:00","2020-11-07 22:35:00"
20,37,"2020-11-07 18:50:00","2020-11-07 18:55:00","2020-11-07 18:50:00","2020-11-07 18:55:00"
20,61,"2020-11-07 23:10:00","2020-11-07 23:15:00","2020-11-07 23:10:00","2020-11-07 23:15:00"
20,62,"2020-11-07 21:00:00","2020-11-07 21:05:00","2020-11-07 21:00:00","2020-11-07 21:05:00"
20,63,"2020-11-07 20:00:00","2020-11-07 20:05:00","2020-11-07 20:00:00","2020-11-07 20:05:00"
20,64,"2020-11-07 16:15:00","2020-11-07 16:20:00","2020-11-07 16:15:00","2020-11-07 16:20:00"
20,65,"2020-11-07 15:35:00","2020-11-07 15:40:00","2020-11-07 15:35:00","2020-11-07 15:40:00"
20,66,"2020-11-07 14:00:00","2020-11-07 14:05:00","2020-11-07 14:00:00","2020-11-07 14:05:00"
20,67,"2020-11-07 13:30:00","2020-11-07 13:35:00","2020-11-07 13:30:00","2020-11-07 13:35:00"
21,10,"2020-11-14 03:40:00","2020-11-14 03:45:00","2020-11-14 03:40:00","2020-11-14 03:45:00"
21,37,"2020-11-14 07:20:00","2020-11-14 07:25:00","2020-11-14 07:20:00","2020-11-14 07:25:00"
21,61,"2020-11-14 03:00:00","2020-11-14 03:10:00","2020-11-14 03:00:00","2020-11-14 03:10:00"
21,62,"2020-11-14 05:10:00","2020-11-14 05:15:00","2020-11-14 05:10:00","2020-11-14 05:15:00"
21,63,"2020-11-14 06:10:00","2020-11-14 06:15:00","2020-11-14 06:10:00","2020-11-14 06:15:00"
21,64,"2020-11-14 09:50:00","2020-11-14 09:55:00","2020-11-14 09:50:00","2020-11-14 09:55:00"
21,65,"2020-11-14 10:35:00","2020-11-14 10:40:00","2020-11-14 10:35:00","2020-11-14 10:40:00"
21,66,"2020-11-14 12:00:00","2020-11-14 12:05:00","2020-11-14 12:00:00","2020-11-14 12:05:00"
21,67,"2020-11-14 13:00:00","2020-11-14 13:05:00","2020-11-14 13:00:00","2020-11-14 13:05:00"
22,10,"2020-11-14 22:30:00","2020-11-14 22:35:00","2020-11-14 22:30:00","2020-11-14 22:35:00"
22,37,"2020-11-14 18:50:00","2020-11-14 18:55:00","2020-11-14 18:50:00","2020-11-14 18:55:00"
22,61,"2020-11-14 23:10:00","2020-11-14 23:15:00","2020-11-14 23:10:00","2020-11-14 23:15:00"
22,62,"2020-11-14 21:00:00","2020-11-14 21:05:00","2020-11-14 21:00:00","2020-11-14 21:05:00"
22,63,"2020-11-14 20:00:00","2020-11-14 20:05:00","2020-11-14 20:00:00","2020-11-14 20:05:00"
22,64,"2020-11-14 16:15:00","2020-11-14 16:20:00","2020-11-14 16:15:00","2020-11-14 16:20:00"
22,65,"2020-11-14 15:35:00","2020-11-14 15:40:00","2020-11-14 15:35:00","2020-11-14 15:40:00"
22,66,"2020-11-14 14:00:00","2020-11-14 14:05:00","2020-11-14 14:00:00","2020-11-14 14:05:00"
22,67,"2020-11-14 13:30:00","2020-11-14 13:35:00","2020-11-14 13:30:00","2020-11-14 13:35:00"
23,10,"2020-11-21 03:40:00","2020-11-21 03:45:00","2020-11-21 03:40:00","2020-11-21 03:45:00"
23,37,"2020-11-21 07:20:00","2020-11-21 07:25:00","2020-11-21 07:20:00","2020-11-21 07:25:00"
23,61,"2020-11-21 03:00:00","2020-11-21 03:10:00","2020-11-21 03:00:00","2020-11-21 03:10:00"
23,62,"2020-11-21 05:10:00","2020-11-21 05:15:00","2020-11-21 05:10:00","2020-11-21 05:15:00"
23,63,"2020-11-21 06:10:00","2020-11-21 06:15:00","2020-11-21 06:10:00","2020-11-21 06:15:00"
23,64,"2020-11-21 09:50:00","2020-11-21 09:55:00","2020-11-21 09:50:00","2020-11-21 09:55:00"
23,65,"2020-11-21 10:35:00","2020-11-21 10:40:00","2020-11-21 10:35:00","2020-11-21 10:40:00"
23,66,"2020-11-21 12:00:00","2020-11-21 12:05:00","2020-11-21 12:00:00","2020-11-21 12:05:00"
23,67,"2020-11-21 13:00:00","2020-11-21 13:05:00","2020-11-21 13:00:00","2020-11-21 13:05:00"
24,10,"2020-11-21 22:30:00","2020-11-21 22:35:00","2020-11-21 22:30:00","2020-11-21 22:35:00"
24,37,"2020-11-21 18:50:00","2020-11-21 18:55:00","2020-11-21 18:50:00","2020-11-21 18:55:00"
24,61,"2020-11-21 23:10:00","2020-11-21 23:15:00","2020-11-21 23:10:00","2020-11-21 23:15:00"
24,62,"2020-11-21 21:00:00","2020-11-21 21:05:00","2020-11-21 21:00:00","2020-11-21 21:05:00"
24,63,"2020-11-21 20:00:00","2020-11-21 20:05:00","2020-11-21 20:00:00","2020-11-21 20:05:00"
24,64,"2020-11-21 16:15:00","2020-11-21 16:20:00","2020-11-21 16:15:00","2020-11-21 16:20:00"
24,65,"2020-11-21 15:35:00","2020-11-21 15:40:00","2020-11-21 15:35:00","2020-11-21 15:40:00"
24,66,"2020-11-21 14:00:00","2020-11-21 14:05:00","2020-11-21 14:00:00","2020-11-21 14:05:00"
24,67,"2020-11-21 13:30:00","2020-11-21 13:35:00","2020-11-21 13:30:00","2020-11-21 13:35:00"
25,10,"2020-11-28 03:40:00","2020-11-28 03:45:00","2020-11-28 03:40:00","2020-11-28 03:45:00"
25,37,"2020-11-28 07:20:00","2020-11-28 07:25:00","2020-11-28 07:20:00","2020-11-28 07:25:00"
25,61,"2020-11-28 03:00:00","2020-11-28 03:10:00","2020-11-28 03:00:00","2020-11-28 03:10:00"
25,62,"2020-11-28 05:10:00","2020-11-28 05:15:00","2020-11-28 05:10:00","2020-11-28 05:15:00"
25,63,"2020-11-28 06:10:00","2020-11-28 06:15:00","2020-11-28 06:10:00","2020-11-28 06:15:00"
25,64,"2020-11-28 09:50:00","2020-11-28 09:55:00","2020-11-28 09:50:00","2020-11-28 09:55:00"
25,65,"2020-11-28 10:35:00","2020-11-28 10:40:00","2020-11-28 10:35:00","2020-11-28 10:40:00"
25,66,"2020-11-28 12:00:00","2020-11-28 12:05:00","2020-11-28 12:00:00","2020-11-28 12:05:00"
25,67,"2020-11-28 13:00:00","2020-11-28 13:05:00","2020-11-28 13:00:00","2020-11-28 13:05:00"
26,10,"2020-11-28 22:30:00","2020-11-28 22:35:00","2020-11-28 22:30:00","2020-11-28 22:35:00"
26,37,"2020-11-28 18:50:00","2020-11-28 18:55:00","2020-11-28 18:50:00","2020-11-28 18:55:00"
26,61,"2020-11-28 23:10:00","2020-11-28 23:15:00","2020-11-28 23:10:00","2020-11-28 23:15:00"
26,62,"2020-11-28 21:00:00","2020-11-28 21:05:00","2020-11-28 21:00:00","2020-11-28 21:05:00"
26,63,"2020-11-28 20:00:00","2020-11-28 20:05:00","2020-11-28 20:00:00","2020-11-28 20:05:00"
26,64,"2020-11-28 16:15:00","2020-11-28 16:20:00","2020-11-28 16:15:00","2020-11-28 16:20:00"
26,65,"2020-11-28 15:35:00","2020-11-28 15:40:00","2020-11-28 15:35:00","2020-11-28 15:40:00"
26,66,"2020-11-28 14:00:00","2020-11-28 14:05:00","2020-11-28 14:00:00","2020-11-28 14:05:00"
26,67,"2020-11-28 13:30:00","2020-11-28 13:35:00","2020-11-28 13:30:00","2020-11-28 13:35:00"
27,47,"2020-09-06 05:00:00","2020-09-06 05:15:00","2020-09-06 05:00:00","2020-09-06 05:15:00"
27,48,"2020-09-06 06:35:00","2020-09-06 06:50:00","2020-09-06 06:35:00","2020-09-06 06:50:00"
27,49,"2020-09-06 07:43:00","2020-09-06 07:58:00","2020-09-06 07:43:00","2020-09-06 07:58:00"
27,50,"2020-09-06 09:31:00","2020-09-06 09:46:00","2020-09-06 09:31:00","2020-09-06 09:46:00"
27,51,"2020-09-06 11:19:00","2020-09-06 11:34:00","2020-09-06 11:19:00","2020-09-06 11:34:00"
